ID,Orderable Part,Root Part,ProductFamily,description,ProductLifeCycle
6856,MAX16813BAUP/V+,MAX16813B,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller and Battery Dis",PRODUCTION
6857,MAX16813BAUP/V+T,MAX16813B,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller and Battery Dis",PRODUCTION
6858,MAX16813EVKIT#,MAX16813EVKIT,Display,"Evaluaton kit for MAX16813, Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-D",PRODUCTION
6859,MAX16814AGP/VY+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6860,MAX16814AGP/VY+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6861,MAX16814ATP+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6862,MAX16814ATP+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6863,MAX16814ATP/V+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6864,MAX16814ATP/V+C81,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6865,MAX16814ATP/V+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Volt DC-DCController",PRODUCTION
6866,MAX16814ATP/V+TC81,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6867,MAX16814AUP+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6868,MAX16814AUP+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6869,MAX16814AUP/V+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6870,MAX16814AUP/V+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver w/High-Voltage DC-DCCtlr",PRODUCTION
6871,MAX16814BEUP+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6872,MAX16814BEUP+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-VoltageDC-DC Controller",PRODUCTION
6873,MAX16814BUTP+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-VoltageDC-DC Controller",PRODUCTION
6874,MAX16814BUTP+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6875,MAX16814BUUP+,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-VoltageDC-DC Controller",PRODUCTION
6876,MAX16814BUUP+T,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6877,MAX16814CATP+,MAX16814C,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6878,MAX16814CATP+T,MAX16814C,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6879,MAX16814EVKIT+,MAX16814EVKIT,Display,"Eval Kit MAX16814 (Integrated, 4-Channel, High-Brightness LED Driverwith High-Voltage DC-DC Controll",PRODUCTION
6880,MAX16814QEVKIT#,MAX16814,Display,"Evaluation kit for MAX16814ATP/V+, Integrated, 4-Channel, High-Brightness LED Driver with High-Volta",PRODUCTION
6881,MAX16814UUP+TCJ3,MAX16814,Display,"Integrated, 4-Channel, High-Brightness LED Driver with High-Voltage DC-DC Controller",PRODUCTION
6882,MAX16815ASA+,MAX16815,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Driverswith PWM Dimming",PRODUCTION
6883,MAX16815ASA+T,MAX16815,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Drivers with PWM Dimming",PRODUCTION
6884,MAX16815ATT+,MAX16815,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Drivers with PWM Dimming",PRODUCTION
6885,MAX16815ATT+T,MAX16815,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Drivers with PWM Dimming",PRODUCTION
6886,MAX16818ATI+,MAX16818,Legacy Cloud & DC,"1.5MHz, 30A High-Efficiency LED Driver with Rapid LED Current Pulsing",MATURE
6887,MAX16818ATI+T,MAX16818,Legacy Cloud & DC,"1.5MHz, 30A High-Efficiency LED Driver with Rapid LED Current Pulsing",MATURE
6888,MAX16818ETI+,MAX16818,Legacy Cloud & DC,"1.5MHz, 30A High-Efficiency LED Driver with Rapid LED Current Pulsing",MATURE
6889,MAX16818ETI+T,MAX16818,Legacy Cloud & DC,"1.5MHz, 30A High-Efficiency LED Driver with Rapid LED Current Pulsing",MATURE
6890,MAX16818EVKIT+,MAX16818EVKIT,Legacy Cloud & DC,"Eval Kit MAX16818 (1.5MHz, 30A High-Efficiency LED Driver with Rapid LEDCurrent Pulsing)",PRODUCTION
6891,MAX16819ATT+,MAX16819,LED Lighting,2MHz High-Brightness LED Drivers with High-Side Current Sense and 5000:1 Dimming,PRODUCTION
6892,MAX16819ATT+T,MAX16819,LED Lighting,2MHz High-Brightness LED Drivers with High-Side Current Sense and 5000:1 Dimming,PRODUCTION
6893,MAX1681ESA+,MAX1681,Power & Data Conv,"125mA, Frequency-Selectable, Switched-Capacitor Voltage Converters",PRODUCTION
6894,MAX1681ESA+T,MAX1681,Power & Data Conv,"125mA, Frequency-Selectable, Switched-Capacitor Voltage Converters",PRODUCTION
6895,MAX16820ATT+,MAX16820,LED Lighting,2MHz High-Brightness LED Drivers with High-Side Current Sense and 5000:1 Dimming,PRODUCTION
6896,MAX16820ATT+T,MAX16820,LED Lighting,2MHz High-Brightness LED Drivers with High-Side Current Sense and 5000:1 Dimming,PRODUCTION
6897,MAX16820EVKIT+,MAX16820EVKIT,LED Lighting,Eval Kit MAX16820 (2MHz High-Brightness LED Drivers with High-SideCurrent Sense and 5000:1 Dimming),PRODUCTION
6898,MAX16821AATI+,MAX16821,LED Lighting,High-Power Synchronous HB LED Drivers with Rapid Current Pulsing,MATURE
6899,MAX16821AATI+T,MAX16821,LED Lighting,High-Power Synchronous HB LED Drivers with Rapid Current Pulsing,MATURE
6900,MAX16821BATI+,MAX16821,LED Lighting,High-Power Synchronous HB LED Drivers with Rapid Current Pulsing,MATURE
6901,MAX16821BATI+T,MAX16821,LED Lighting,High-Power Synchronous HB LED Drivers with Rapid Current Pulsing,MATURE
6902,MAX16821BEVKIT+,MAX16821BEVKIT,LED Lighting,Eval Kit MAX16821B (High-Power Synchronous HB LED Drivers with RapidCurrent Pulsing),PRODUCTION
6903,MAX16821CATI+,MAX16821,LED Lighting,High-Power Synchronous HB LED Drivers with Rapid Current Pulsing,MATURE
6904,MAX16821CATI+T,MAX16821,LED Lighting,High-Power Synchronous HB LED Drivers with Rapid Current Pulsing,MATURE
6905,MAX16822AASA+,MAX16822A,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6906,MAX16822AASA+T,MAX16822A,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6907,MAX16822AASA/V+,MAX16822A,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6908,MAX16822AASA/V+T,MAX16822A,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6909,MAX16822BASA+,MAX16822B,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6910,MAX16822BASA+T,MAX16822B,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6911,MAX16822BEVKIT+,MAX16822BEVKIT,LED Lighting,"Eval Kit MAX16822B (2MHz, High-Brightness LED Drivers with IntegratedMOSFET and High-Side Current Se",PRODUCTION
6912,MAX16823ATE+,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LED Detection",PRODUCTION
6913,MAX16823ATE+T,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LED Detection",PRODUCTION
6914,MAX16823ATE/V+,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LEDDetection",PRODUCTION
6915,MAX16823ATE/V+T,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LEDDetection",PRODUCTION
6916,MAX16823AUE+,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LED Detection",PRODUCTION
6917,MAX16823AUE+T,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LED Detection",PRODUCTION
6918,MAX16823AUE/V+,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LEDDetection",PRODUCTION
6919,MAX16823AUE/V+T,MAX16823,LED Lighting,"High-Voltage, 3-Channel Linear High-Brightness LED Driver with Open LEDDetection",PRODUCTION
6920,MAX16823EVKIT+,MAX16823EVKIT,LED Lighting,"Eval Kit MAX16823 (High-Voltage, 3-Channel Linear High-Brightness LEDDriver with Open LED Detection)",PRODUCTION
6921,MAX16824AUE+,MAX16824,LED Lighting,"High-Voltage, Three-Channel Linear High-Brightness LED Drivers",PRODUCTION
6922,MAX16824AUE+T,MAX16824,LED Lighting,"High-Voltage, Three-Channel Linear High-Brightness LED Drivers",PRODUCTION
6923,MAX16824AUE/V+,MAX16824,LED Lighting,"High-Voltage, Three-Channel Linear High-Brightness LED Drivers",PRODUCTION
6924,MAX16824AUE/V+T,MAX16824,LED Lighting,"High-Voltage, Three-Channel Linear High-Brightness LED Drivers",PRODUCTION
6925,MAX16824EVKIT+,MAX16824EVKIT,LED Lighting,"Eval Kit MAX16824 (High-Voltage, Three-Channel Linear High-BrightnessLED Drivers)",PRODUCTION
6926,MAX16825AUE+,MAX16825,LED Lighting,"High-Voltage, Three-Channel Linear High-Brightness LED Drivers",PRODUCTION
6927,MAX16825EVKIT+,MAX16825EVKIT,LED Lighting,"Eval Kit MAX16825 (High-Voltage, Three-Channel Linear High-BrightnessLED Drivers)",PRODUCTION
6928,MAX16826ATJ+,MAX16826,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimization and Fault Detection",PRODUCTION
6929,MAX16826ATJ+C24,MAX16826,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimizationand Fault Detection",PRODUCTION
6930,MAX16826ATJ+T,MAX16826,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimization and Fault Detection",PRODUCTION
6931,MAX16826ATJ+TC24,MAX16826,Display,"Programmable, 4-String HB LED Driver w. Output-Volt Optimization & Fault Detection",PRODUCTION
6932,MAX16826ATJ/V+,MAX16826,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimization and Fault Detection",PRODUCTION
6933,MAX16826ATJ/V+T,MAX16826,Display,"Programmable,4-String HB LED Drvr w/ Output-Volt Optmize FaultDetect",PRODUCTION
6934,MAX16826ATJ/VY+,MAX16826,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimizationand Fault Detection",PRODUCTION
6935,MAX16826ATJ/VY+T,MAX16826,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimizationand Fault Detection",PRODUCTION
6936,MAX16826BATJ+,MAX16826B,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimizationand Fault Detection",PRODUCTION
6937,MAX16826BATJ+T,MAX16826B,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimizationand Fault Detection",PRODUCTION
6938,MAX16826BATJ/V+,MAX16826B,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimizationand Fault Detection",PRODUCTION
6939,MAX16826BATJ/V+T,MAX16826B,Display,"Programmable, Four-String HB LED Driver with Output-Voltage Optimizationand Fault Detection",PRODUCTION
6940,MAX16826EVKIT+,MAX16826EVKIT,Display,"Eval Kit MAX16826 (Programmable, Four-String HB LED Driver withOutput-Voltage Optimization and Fault",PRODUCTION
6941,MAX16828ASA+,MAX16828,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Driverswith PWM Dimming",PRODUCTION
6942,MAX16828ASA+T,MAX16828,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Drivers with PWM Dimming",PRODUCTION
6943,MAX16828ATT+,MAX16828,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Drivers with PWM Dimming",LAST TIME BUY
6944,MAX16828ATT+T,MAX16828,LED Lighting,"High-Voltage, 100mA/200mA Adjustable Linear High-Brightness LED Drivers with PWM Dimming",LAST TIME BUY
6945,MAX16828EVKIT+,MAX16828EVKIT,LED Lighting,Evaluation Kit for the MAX16815 and MAX16828,PRODUCTION
6946,MAX1682EUK+,MAX1682,Power & Data Conv,Switched-Capacitor Voltage Doublers,PRODUCTION
6947,MAX1682EUK+T,MAX1682,Power & Data Conv,Switched-Capacitor Voltage Doublers,PRODUCTION
6948,MAX16831ATJ+,MAX16831,LED Lighting,"High-Voltage, High-Power LED Driver with Analog and PWM Dimming Control",MATURE
6949,MAX16831ATJ+T,MAX16831,LED Lighting,"High-Voltage, High-Power LED Driver with Analog and PWM Dimming Control",MATURE
6950,MAX16831EVKIT+,MAX16831EVKIT,LED Lighting,"Eval Kit MAX16831 (High-Voltage, High-Power LED Driver with Analog andPWM Dimming Control)",MATURE
6951,MAX16832AASA+,MAX16832,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6952,MAX16832AASA+T,MAX16832,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6953,MAX16832AASA/V+,MAX16832,LED Lighting,"2MHz, High-Brightness LED Driver with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6954,MAX16832AASA/V+T,MAX16832,LED Lighting,"2MHz, High-Brightness LED Driver with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6955,MAX16832CASA+,MAX16832,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6956,MAX16832CASA+T,MAX16832,LED Lighting,"2MHz, High-Brightness LED Drivers with Integrated MOSFET and High-Side Current Sense",PRODUCTION
6957,MAX16832CEVKIT+,MAX16832CEVKIT,LED Lighting,"Eval Kit MAX16823C and MAX16832A (2MHz, High-Brightness LED Drivers withIntegrated MOSFET and High-S",PRODUCTION
6958,MAX16833AUE+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6959,MAX16833AUE+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6960,MAX16833AUE/V+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6961,MAX16833AUE/V+T,MAX16833,LED Lighting,Hi-VoltageHB LED Drivrs w/Integrtd High-Side Current Sense,PRODUCTION
6962,MAX16833BAUE+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6963,MAX16833BAUE+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6964,MAX16833BAUE/V+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6965,MAX16833BAUE/V+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6966,MAX16833CAUE+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6967,MAX16833CAUE+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6968,MAX16833CAUE/V+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6969,MAX16833CAUE/V+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6970,MAX16833DAUE+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6971,MAX16833DAUE+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6972,MAX16833DAUE/V+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6973,MAX16833DAUE/V+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6974,MAX16833EAUE+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6975,MAX16833EAUE+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6976,MAX16833EAUE/V+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6977,MAX16833EAUE/V+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6978,MAX16833EVKIT+,MAX16833EVKIT,LED Lighting,Eval Kit MAX16833 (High-Voltage HB LED Drivers with Integrated High-SideCurrent Sense),PRODUCTION
6979,MAX16833GAUE/V+,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6980,MAX16833GAUE/V+T,MAX16833,LED Lighting,High-Voltage HB LED Drivers with Integrated High-Side Current Sense,PRODUCTION
6981,MAX16834AGP/VY+,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense andPWM Dimming MOSFET Driver,PRODUCTION
6982,MAX16834AGP/VY+T,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6983,MAX16834ATP+,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6984,MAX16834ATP+T,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6985,MAX16834ATP/V+,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6986,MAX16834ATP/V+T,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6987,MAX16834AUP+,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6988,MAX16834AUP+T,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6989,MAX16834AUP/V+,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense and PWM Dimming MOSFET Driver,PRODUCTION
6990,MAX16834AUP/V+T,MAX16834,LED Lighting,High-Power LED Driver with Integrated High-Side LED Current Sense andPWM Dimming MOSFET Driver,PRODUCTION
6991,MAX16834EVKIT+,MAX16834EVKIT,LED Lighting,Eval Kit MAX16834 (High-Power LED Driver with Integrated High-Side LEDCurrent Sense and PWM Dimming ,PRODUCTION
6992,MAX16835ATE+,MAX16835,LED Lighting,"High-Voltage, 350mA, Adjustable Linear High-Brightness LED Driver",PRODUCTION
6993,MAX16835ATE+T,MAX16835,LED Lighting,"High-Voltage, 350mA, Adjustable Linear High-Brightness LED Driver",PRODUCTION
6994,MAX16836ASA+,MAX16836,LED Lighting,"High-Voltage, 350mA, High-Brightness LED Driver with PWM Dimming and 5VRegulator",PRODUCTION
6995,MAX16836ASA+T,MAX16836,LED Lighting,"High-Voltage, 350mA, High-Brightness LED Driver with PWM Dimming and 5V Regulator",PRODUCTION
6996,MAX16836ATE+,MAX16836,LED Lighting,"High-Voltage, 350mA, High-Brightness LED Driver with PWM Dimming and 5V Regulator",PRODUCTION
6997,MAX16836ATE+T,MAX16836,LED Lighting,"High-Voltage, 350mA, High-Brightness LED Driver with PWM Dimming and 5V Regulator",PRODUCTION
6998,MAX16836EVKIT+,MAX16836EVKIT,LED Lighting,"Eval Kit MAX16836 (High-Voltage, 350mA, High-Brightness LED Driver withPWM Dimming and 5V Regulator)",PRODUCTION
6999,MAX16838ATP+,MAX16838,Display,"Integrated, 2-Channel, High-Brightness LED Driver with High-VoltageBoost and SEPIC Controller",PRODUCTION
7000,MAX16838ATP+T,MAX16838,Display,"Integrated, 2-Channel, High-Brightness LED Driver with High-VoltageBoost and SEPIC Controller",PRODUCTION
7001,MAX16838ATP/V+,MAX16838,Display,"Integrated, 2-Channel, High-Brightness LED Driver with High-VoltageBoost and SEPIC Controller",PRODUCTION
7002,MAX16838ATP/V+T,MAX16838,Display,"Integrated, 2-Channel, High-Brightness LED Driver with High-VoltageBoost and SEPIC Controller",PRODUCTION
7003,MAX16838AUP+,MAX16838,Display,"Integrated, 2-Channel, High-Brightness LED Driver with High-VoltageBoost and SEPIC Controller",PRODUCTION
7004,MAX16838AUP/V+,MAX16838,Display,"Integrated, 2-Channel, High-Brightness LED Driver with High-Voltage Boost and SEPIC Controller",PRODUCTION
7005,MAX16838AUP/V+T,MAX16838,Display,"Integrated, 2-Channel, High-Brightness LED Driver with High-Voltage Boost and SEPIC Controller",PRODUCTION
7006,MAX16838BATP/V+,MAX16838B,Display,Integrated 2-Channel High-Brightness LED Drivers with High-Voltage DC-DC Controller,PRODUCTION
7007,MAX16838BATP/V+T,MAX16838B,Display,Integrated 2-Channel High-Brightness LED Drivers with High-Voltage DC-DC Controller,PRODUCTION
7008,MAX16838BAUP/V+,MAX16838B,Display,Integrated 2-Channel High-Brightness LED Drivers with High-Voltage DC-DC Controller,PRODUCTION
7009,MAX16838BAUP/V+T,MAX16838B,Display,Integrated 2-Channel High-Brightness LED Drivers with High-Voltage DC-DC Controller,PRODUCTION
7010,MAX16838EVKIT+,MAX16838EVKIT,Display,"Eval Kit MAX16838 (Integrated, 2-Channel, High-Brightness LED Driverwith High-Voltage Boost and SEPI",PRODUCTION
7011,MAX16839ASA+,MAX16839,LED Lighting,"High-Voltage, Linear High-Brightness LED Driver with Open-LED FaultDetect",PRODUCTION
7012,MAX16839ASA+T,MAX16839,LED Lighting,"High-Voltage, Linear High-Brightness LED Driver with Open-LED Fault Detect",PRODUCTION
7013,MAX16839ATT+,MAX16839,LED Lighting,"High-Voltage, Linear High-Brightness LED Driver with Open-LED FaultDetect",PRODUCTION
7014,MAX16839ATT+T,MAX16839,LED Lighting,"High-Voltage, Linear High-Brightness LED Driver with Open-LED FaultDetect",PRODUCTION
7015,MAX16839ATT/V+,MAX16839,LED Lighting,"High-Voltage, Linear High-Brightness LED Driver with LED Fault Open Detect",PRODUCTION
7016,MAX16839ATT/V+T,MAX16839,LED Lighting,"High-Voltage, Linear High-Brightness LED Driver with Open-LED FaultDetect",PRODUCTION
7017,MAX16839EVKIT+,MAX16839EVKIT,LED Lighting,"Eval Kit MAX16839 (High-Voltage, Linear High-Brightness LED Driver withOpen-LED Fault Detect)",PRODUCTION
7018,MAX1683EUK+,MAX1683,Power & Data Conv,Switched-Capacitor Voltage Doublers,PRODUCTION
7019,MAX1683EUK+T,MAX1683,Power & Data Conv,Switched-Capacitor Voltage Doublers,PRODUCTION
7020,MAX16840ATB+,MAX16840,Power & Data Conv,LED Driver with Integrated MOSFET for MR16 and Other 12V AC Input Lamps,PRODUCTION
7021,MAX16840ATB+T,MAX16840,Power & Data Conv,LED Driver with Integrated MOSFET for MR16 and Other 12V AC Input Lamps,PRODUCTION
7022,MAX16840EVKIT#,MAX16840EVKIT,Power & Data Conv,Eval Kit MAX16840 (LED Driver with Integrated MOSFET for MR16 and Other12V AC Input Lamps),PRODUCTION
7023,MAX1684EEE+,MAX1684,Power & Data Conv,"Low-Noise, 14V Input, 1A, PWM Step-Down Converters",PRODUCTION
7024,MAX1684EEE+T,MAX1684,Power & Data Conv,"Low-Noise, 14V Input, 1A, PWM Step-Down Converters",PRODUCTION
7025,MAX1685EEE+,MAX1685,Power & Data Conv,"Low-Noise, 14V Input, 1A, PWM Step-Down Converters",PRODUCTION
7026,MAX1685EEE+T,MAX1685,Power & Data Conv,"Low-Noise, 14V Input, 1A, PWM Step-Down Converters",PRODUCTION
7027,MAX1685EVKIT,MAX1685EVKIT,Power & Data Conv,"Evaluation Kit for the MAX1684, MAX1685",PRODUCTION
7028,MAX1686EUA+,MAX1686,Power & Data Conv,3V to 5V Regulating Charge Pumps for SIM Cards,PRODUCTION
7029,MAX1686EUA+T,MAX1686,Power & Data Conv,3V to 5V Regulating Charge Pumps for SIM Cards,PRODUCTION
7030,MAX1686HEUA+,MAX1686,Power & Data Conv,3V to 5V Regulating Charge Pumps for SIM Cards,PRODUCTION
7031,MAX1686HEUA+T,MAX1686,Power & Data Conv,3V to 5V Regulating Charge Pumps for SIM Cards,PRODUCTION
7032,MAX1687ESA+,MAX1687,Power & Data Conv,"Step-Up DC-DC Converters with Precise, Adaptive Current Limit for GSM",PRODUCTION
7033,MAX1687ESA+T,MAX1687,Power & Data Conv,"Step-Up DC-DC Converters with Precise, Adaptive Current Limit for GSM",PRODUCTION
7034,MAX1687EUE+,MAX1687,Power & Data Conv,"Step-Up DC-DC Converters with Precise, Adaptive Current Limit for GSM",PRODUCTION
7035,MAX1687EUE+T,MAX1687,Power & Data Conv,"Step-Up DC-DC Converters with Precise, Adaptive Current Limit for GSM",PRODUCTION
7036,MAX1688EUE+,MAX1688,Power & Data Conv,"Step-Up DC-DC Converters with Precise, Adaptive Current Limit for GSM",PRODUCTION
7037,MAX1688EUE+T,MAX1688,Power & Data Conv,"Step-Up DC-DC Converters with Precise, Adaptive Current Limit for GSM",PRODUCTION
7038,MAX1688EVKIT,MAX1688EVKIT,Power & Data Conv,"Evaluation Kit for the MAX1687, MAX1688",PRODUCTION
7039,MAX16903EVKIT+,MAX16903,Auto Power,"Eval Kit MAX16903 (2.1MHz, High-Voltage, 1A Mini-Buck Converter)",PRODUCTION
7040,MAX16903RATB33+,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7041,MAX16903RATB33+T,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7042,MAX16903RATB33/V+,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7043,MAX16903RATB33/V+T,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7044,MAX16903RAUE33+,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7045,MAX16903RAUE33+T,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7046,MAX16903RAUE33/V+,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7047,MAX16903RAUE33/V+T,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
7048,MAX16903RAUE50+,MAX16903,Auto Power,"2.1MHz, High-Voltage, 1A Mini-Buck Converter",PRODUCTION
